Item,Revenue Class,Department, Default Price ,Qty, Discounts , Avg. Sale Price , Gross Sales ,Net Sales,
1800 Silver,Liquor,Tequila,7.00,353,90.48,6.86,2513.00,2422.52,
4 Tender Basket With Fries,Food,Lunch Menu,8.99,123,127.93,7.72,1077.69,949.76,
5 Pc Steakfinger,Food,Entrees,12.75,31,26.78,11.89,395.25,368.47,
6 Boneless Wings And Fries,Food,Lunch Menu,8.99,44,91.00,6.73,387.24,296.24,
6 Traditional Wings And Fries,Food,Lunch Menu,8.99,181,269.76,7.35,1600.29,1330.53,
Absolut,Liquor,Vodka,7.00,14,9.32,6.62,102.00,92.68,
Adios Mother F*cker,Liquor,Cocktails,7.50,67,1.50,6.27,421.50,420.00,
Adios Pants 16oz,Beer,Draft Beer,4.50,17,0.00,4.38,74.50,74.50,
Adios Pants 24oz,Beer,Draft Beer,6.00,1,0.00,6.00,6.00,6.00,
Angry Balls,Beer,Draft Beer,5.00,11,0.00,5.00,55.00,55.00,
Angry Orchid 16oz,Beer,Draft Beer,4.50,11,0.00,4.50,49.50,49.50,
Angry Orchid 24oz,Beer,Draft Beer,6.00,1,0.00,6.00,6.00,6.00,
Angry Orchid (B),Beer,Bottle Beer,3.00,542,95.44,3.12,1787.75,1692.31,
Arrow Amaretto,Liquor,Schnapps,4.00,17,0.00,4.00,68.00,68.00,
Arrow Butterscotch,Liquor,Schnapps,4.00,3,0.00,4.00,12.00,12.00,
B-52,Liquor,Cocktails,7.00,4,0.00,7.00,28.00,28.00,
Bacon Cheese Burger,Food,Sand & Burg,12.50,127,231.22,10.98,1625.95,1394.73,
Bacon Cheeseburger (Lunch),Food,Lunch Menu,8.99,261,174.63,8.22,2320.89,2146.26,
Bahama Mama,Liquor,Cocktails,6.00,5,0.00,5.50,27.50,27.50,
Baileys Ice Cream,Food,Desserts,8.00,14,12.00,7.14,112.00,100.00,
Baileys Irish Creme ,Liquor,Liqueur,7.50,53,3.00,7.44,397.50,394.50,
Barcardi Silver,Liquor,Rum,7.25,126,58.40,5.87,797.75,739.35,
Bar Chips,Food,Starters,1.00,12,1.50,0.88,12.00,10.50,
Beer Of The Day 16oz,Beer,Draft Beer,2.00,10,0.00,2.00,20.00,20.00,
Beer Of The Day 22oz,Beer,Draft Beer,3.00,12,0.00,3.00,36.00,36.00,
Beer Of The Week Pint,Beer,Draft Beer,3.00,14,0.00,3.00,42.00,42.00,
Birthday Cake,Liquor,Cocktails,6.50,22,13.00,5.91,143.00,130.00,
Bleu Cheese and Celery,Food,Sides,2.25,4,0.00,2.25,9.00,9.00,
Bloody Mary,Liquor,Cocktails,7.00,48,6.30,6.95,340.00,333.70,
Blue Hawaiian,Liquor,Cocktails,5.00,7,0.00,5.00,35.00,35.00,
Blue Moon 16oz,Beer,Draft Beer,3.50,76,5.25,3.43,266.00,260.75,
Blue Moon 24oz,Beer,Draft Beer,5.50,26,22.00,4.65,143.00,121.00,
Bols Rootbeer,Liquor,Schnapps,4.00,1,0.00,4.00,4.00,4.00,
Bombay Sapphire,Liquor,Gin,8.25,24,9.60,7.68,194.00,184.40,
Boneless Chicken Wings (10),Food,Wings 'n Tenders,14.00,69,130.28,11.95,966.50,836.22,
Boneless Chicken Wings (15),Food,Wings 'n Tenders,22.00,17,22.00,20.74,374.50,352.50,
Boneless Chicken Wings (5),Food,Wings 'n Tenders,8.00,86,44.00,7.45,685.00,641.00,
Boneless Wing Combo (6),Food,Wings 'n Tenders,12.75,3,25.50,4.25,38.25,12.75,
Boulianne Peach ,Liquor,Schnapps,4.00,4,0.00,4.00,16.00,16.00,
Brownie Sundae Supreme,Food,Desserts,7.00,30,45.50,5.31,210.00,164.50,
Brut Champagne (G),Wine,Wine,5.00,7,0.00,5.00,35.00,35.00,
Bud (B),Beer,Bottle Beer,3.25,1241,152.33,2.87,3712.26,3559.93,
Budlight 16oz,Beer,Draft Beer,3.50,1290,453.06,3.01,4336.00,3882.94,
Budlight 24oz,Beer,Draft Beer,5.00,840,32.00,4.96,4200.00,4168.00,
Bud Lt,Beer,Bottle Beer,3.25,1138,160.12,2.95,3511.75,3351.63,
Budwieser 16oz,Beer,Draft Beer,3.50,20,14.00,2.65,67.00,53.00,
Budwieser 24oz,Beer,Draft Beer,5.00,26,5.00,4.81,130.00,125.00,
Buffalo Chicken Salad,Food,Salad & Chili,11.00,23,33.00,9.57,253.00,220.00,
